Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Program,School Type,School Method,Number of Enrollments,Number of Founders (Alumni),Number of Alumni,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events
Wonderschool,https://www.crunchbase.com/organization/wonderschool,"Child Care, EdTech, Education, Parenting, Primary Education","San Francisco, California, United States",Wonderschool offers a platform where people can start infant and toddler education programs and preschools out of their homes.,284,"San Francisco Bay Area, West Coast, Western US","Black / African American Founded, Black / African American Led, Hispanic / Latine Founded, Hispanic / Latine Led",,Active,2012-01-01,year,,,,,For Profit,http://www.wonderschool.com,,,,,,,,,,,,,,,,,,"Community and Lifestyle, Education, Health Care, Software",2,"Arrel Gray, Chris Bennett",51-100,9,Early Stage Venture,2022-01-11,25000000,USD,25000000,Series B,25000000,USD,25000000,Series B,49100000,USD,49100000,49100000,USD,49100000,"Andreessen Horowitz, Gaingels, Goldman Sachs, Headline, Uncork Capital",5,33,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2019-12-20,
Rebel Foods,https://www.crunchbase.com/organization/faaso-s,"E-Commerce, Food Delivery, Food Processing, Mobile Apps","Mumbai, Maharashtra, India",Rebel Foods Services is a food delivery platform that provides delivery services.,284,Asia-Pacific (APAC),,$10M to $50M,Active,2011-01-01,year,,,,,For Profit,https://www.rebelfoods.com,,,3,4,3,,,,,,,,,,,,,"Apps, Commerce and Shopping, Food and Beverage, Mobile, Software, Transportation",3,"Ankush Grover, Jaydeep Barman, Kallol Banerjee",1001-5000,21,Late Stage Venture,2022-11-01,1000000000,INR,12094129,Debt Financing,14500000,USD,14500000,Series F,513618790,USD,513618790,548562195,USD,548562195,"Sequoia Capital, Goldman Sachs, BEENEXT, Gojek, RTP Global",12,24,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2023-01-16,
Virohan,https://www.crunchbase.com/organization/virohan-institute-of-health-management-sciences,"Continuing Education, Corporate Training, EdTech, Higher Education, Vocational Education","Gurgaon, Haryana, India",Virohan is an EdTech company that offers advanced industry demand-driven training programs in healthcare to students.,285,Asia-Pacific (APAC),,,Active,2018-05-04,day,,,,,For Profit,https://www.virohan.com,,,,,,,,,,,,,,,,,,"Education, Software",4,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja",101-250,8,Early Stage Venture,2022-12-08,562000000,INR,6830310,Series B,562000000,INR,6830310,Series B,11430311,USD,11430311,11880311,USD,11880311,"The Midland Rubber & Produce, Deepa Bagla Financial Consultants, Shantani Jain, Lesith Artha, LetsVenture",6,22,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Forethought,https://www.crunchbase.com/organization/forethought-7dc2,"Artificial Intelligence, Customer Service, Enterprise Software, Machine Learning, SaaS","San Francisco, California, United States",Forethought provides customer service solutions that transform the customer experience with human-centered AI.,285,"San Francisco Bay Area, West Coast, Western US","Black / African American Founded, Black / African American Led",$1M to $10M,Active,2017-09-01,month,,,,,For Profit,https://www.forethought.ai,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Other, Professional Services, Science and Engineering, Software",3,"Colm Doyle, Deon Nicholas, Sami Ghoche",101-250,4,Late Stage Venture,2021-12-15,65000000,USD,65000000,Series C,65000000,USD,65000000,Series C,92000000,USD,92000000,92000000,USD,92000000,"Village Global, Collaborative Fund, New Enterprise Associates, 8VC, South Park Commons",3,42,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-01-13,,2
monday.com,https://www.crunchbase.com/organization/mondaydotcom,"Collaboration, CRM, Developer Tools, Marketing, Project Management, SaaS, Task Management","Tel Aviv, Tel Aviv, Israel",monday.com is a work operating system where organizations of any size can create processes to manage every aspect of their work.,286,,,$100M to $500M,Active,2012-02-01,day,2021-06-10,day,,,For Profit,https://monday.com,,,,,,,,,,,,,,,,,,"Administrative Services, Information Technology, Other, Sales and Marketing, Software",2,"Eran Zinman, Roy Mann",1001-5000,8,IPO,2021-06-10,150000000,USD,150000000,Post-IPO Equity,150000000,USD,150000000,Post-IPO Equity,384100000,USD,384100000,384100000,USD,384100000,"Zoom, Insight Partners, Sapphire Ventures, Stripes, Salesforce Ventures",7,12,,,,,,,,,,,,,,Public,2021-06-10,,,574000000,USD,574000000,7500000000,USD,7500000000,MNDY,https://www.crunchbase.com/ipo/mondaydotcom-ipo--c1b261e0,NASDAQ,,,1
Asimov,https://www.crunchbase.com/organization/asimov-2,Biotechnology,"Boston, Massachusetts, United States",Asimov employs artificial intelligence to develop tools for the design and manufacture of next-generation therapeutics.,287,"Greater Boston Area, East Coast, New England",,,Active,2017-01-01,year,,,,,For Profit,https://www.asimov.com,,,,,,,,,,,,,,,,,,"Biotechnology, Science and Engineering",4,"Alec Nielsen, Christopher Voigt, Douglas Densmore, Raja Srinivas",11-50,4,Early Stage Venture,2023-01-05,175000000,USD,175000000,Series B,175000000,USD,175000000,Series B,205000000,USD,205000000,205000000,USD,205000000,"Andreessen Horowitz, Fidelity Management and Research Company, Horizons Ventures, AME Cloud Ventures, Pillar VC",3,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Plenty,https://www.crunchbase.com/organization/see-jane-farm,"AgTech, Farming, Food and Beverage, Sustainability","South San Francisco, California, United States","Plenty is a vertical farming company that brings fresh, pesticide-free produce to customers.",288,"San Francisco Bay Area, West Coast, Western US",,$10M to $50M,Active,2014-08-21,day,,,,,For Profit,http://plenty.ag,,,,,,,,,,,,,,,,,,"Agriculture and Farming, Food and Beverage, Sustainability",4,"Jack Oslan, Matt Barnard, Nate Mazonson, Nate Storey",251-500,7,Late Stage Venture,2022-01-25,400000000,USD,400000000,Series E,400000000,USD,400000000,Series E,941000000,USD,941000000,941000000,USD,941000000,"DCVC, Walmart, SoftBank Vision Fund, Finistere Ventures, Driscoll's",4,13,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-01-25,,
PreAct Technologies,https://www.crunchbase.com/organization/preact-technologies,"Automotive, Information Technology, Sensor","Portland, Oregon, United States",PreAct Technologies aims to bridge the gap between collision avoidance systems and active safety technology.,288,"West Coast, Western US",,,Active,2018-07-01,month,,,,,For Profit,https://www.preact-tech.com/,,,,,,,,,,,,,,,,,,"Hardware, Information Technology, Transportation",3,"Keith Brendley, Kurt Brendley, Paul Drysch",1-10,8,Early Stage Venture,2023-01-05,14000000,USD,14000000,Series B,14000000,USD,14000000,Series B,40994749,USD,40994749,40994749,USD,40994749,"I Squared Capital, Sony Innovation Fund, State Farm Ventures, Social Impact Capital, Luminate",5,11,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Health IQ,https://www.crunchbase.com/organization/health-iq,"Health Care, Life Insurance, Pharmaceutical","Mountain View, California, United States",Learn more about your Health IQ with the world's largest health quiz,289,"San Francisco Bay Area, Silicon Valley, West Coast","Hispanic / Latine Founded, Women Founded",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.healthiq.com/,,,,,,,,,,,,,,,,,,"Financial Services, Health Care",11,"Alex Marshall, Alex Miller, Ardaman Singh, Betsy Filson, Brett Cooper, Chander Sudanthi, Gaurav Suri, Mark Brenneman, Munjal Shah, Shuo Jiao, Vishal Parikh",501-1000,4,Late Stage Venture,2019-05-08,55000000,USD,55000000,Series D,55000000,USD,55000000,Series D,136500000,USD,136500000,136500000,USD,136500000,"Andreessen Horowitz, Menlo Ventures, Greylock, Ribbit Capital, Western Technology Investment",5,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Tripadvisor,https://www.crunchbase.com/organization/tripadvisor,"E-Commerce, Hospitality, Hotel, Information Services, Internet, Restaurants, Social Media, Travel, Vacation Rental","Needham, Massachusetts, United States",Tripadvisor is the largest travel guidance platform.,290,"Greater Boston Area, East Coast, New England",,$100M to $500M,Active,2000-02-01,day,2011-12-21,day,,,For Profit,https://www.tripadvisor.com/,,,4,6,6,,2,2,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Information Technology, Internet Services, Media and Entertainment, Real Estate, Travel and Tourism",4,"Carlos Virella, Eric Burin des Roziers, Langley Steinert, Steve Kaufer",1001-5000,4,M&A,2021-03-22,300000000,USD,300000000,Post-IPO Equity,300000000,USD,300000000,Post-IPO Equity,303300000,USD,303300000,303300000,USD,303300000,"TCV, OneLiberty Ventures",1,2,30,"Made Acquisitions, Was Acquired",Tripadvisor acquired by IAC,https://www.crunchbase.com/acquisition/iac-acquires-tripadvisor--7891cc12,IAC,https://www.crunchbase.com/organization/iac,2004-03-16,day,,,,Acquisition,,Public,2011-12-21,,,,,,3273770000,USD,3273770000,TRIP,https://www.crunchbase.com/ipo/tripadvisor-ipo--dd98d191,NASDAQ,2022-11-15,2021-03-10,16
Bath & Body Works,https://www.crunchbase.com/organization/bath-body-works,"Beauty, Consumer Goods, Retail, Shopping","Columbus, Ohio, United States",Bath & Body Works is a specialty retailer and a go-to place for gifts and goodies that delight customers.,290,"Great Lakes, Midwestern US",,$10B+,Active,1990-01-01,year,1982-12-23,day,,,For Profit,https://www.bathandbodyworks.com/,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods",1,Leslie H. Wexner,10001+,1,IPO,2022-12-08,524644070,USD,524644070,Post-IPO Equity,524644070,USD,524644070,Post-IPO Equity,524644070,USD,524644070,524644070,USD,524644070,Third Point Ventures,1,1,,,,,,,,,,,,,,Public,1982-12-23,,,,,,,,,BBWI,https://www.crunchbase.com/ipo/bath-body-works-ipo--84f33bac,NYSE - New York Stock Exchange,2023-01-04,2022-08-17,
Chainlink,https://www.crunchbase.com/organization/chainlink,"Blockchain, Information Technology, Internet, Security, Software","Grand Cayman, Midland, Cayman Islands",Chainlink provides reliable tamper-proof inputs and outputs for complex smart contracts on any blockchain.,291,,,$1M to $10M,Active,2014-01-01,day,,,,,For Profit,https://chain.link/,,,3,3,1,,,,,,,,,,,,,"Information Technology, Internet Services, Other, Privacy and Security, Software",1,Sergey Nazarov,1-10,4,,2017-09-20,32000000,USD,32000000,Initial Coin Offering,32000000,USD,32000000,Initial Coin Offering,32000000,USD,32000000,32000000,USD,32000000,"Fundamental Labs, George Burke, AlphaCoin Fund, Limitless Crypto Investments, TGE Capital",1,9,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,4
Berkshire Hathaway,https://www.crunchbase.com/organization/berkshire-hathaway-corp,"Air Transportation, Credit, Insurance, Property Insurance, Real Estate","Omaha, Nebraska, United States",Berkshire Hathaway is a multinational conglomerate holding company.,292,Midwestern US,,$10B+,Active,1839-01-01,day,1996-05-10,day,,,For Profit,http://www.berkshirehathaway.com,Investment Bank,,17,20,19,1,15,15,,,,,,,,,,"Financial Services, Lending and Investments, Real Estate, Transportation",1,Oliver Chace,10001+,2,IPO,2022-09-27,68000000,USD,68000000,Post-IPO Equity,68000000,USD,68000000,Post-IPO Equity,71510000,USD,71510000,71510000,USD,71510000,"Pershing Square Capital Management, Gregory E. Abel",2,2,53,Made Acquisitions,,,,,,,,,,,,Public,1996-05-10,,,,,,,,,BRKB,https://www.crunchbase.com/ipo/berkshire-hathaway-corp-ipo--2af61bba,NYSE - New York Stock Exchange,2021-05-04,2020-08-08,2
Flatheads,https://www.crunchbase.com/organization/flatheads,"E-Commerce, Fashion, Retail, Shoes, Shopping","Bangalore, Karnataka, India",Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,292,Asia-Pacific (APAC),,$1M to $10M,Active,2019-11-19,day,,,,,For Profit,https://www.flatheads.in/,,,,,,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",2,"Ganesh Balakrishnan, Utkarsh Biradar",11-50,3,Seed,2021-09-16,73000000,INR,992317,Seed,73000000,INR,992317,Seed,1717318,USD,1717318,1717318,USD,1717318,"GetVantage, We Founder Circle, Sahil Barua, AngelList India, Arpan Sheth",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
ReCode Therapeutics,https://www.crunchbase.com/organization/recode-therapeutics,"Biopharma, Biotechnology, Genetics, Health Care, Pharmaceutical","Dallas, Texas, United States","ReCode Therapeutics is a genetic medicines company developing targeted, disease-modifying therapies for life-limiting respiratory diseases.",293,"Dallas/Fort Worth Metroplex, Southern US",Women Led,Less than $1M,Active,2015-01-01,year,,,,,For Profit,https://recodetx.com,,,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",3,"Daniel Siegwart, Michael Torres, Philip Thomas",51-100,5,,2023-01-10,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,Venture - Series Unknown,292000000,USD,292000000,292000000,USD,292000000,"OrbiMed, Cystic Fibrosis Foundation, Matrix Capital Management, Sanofi Ventures, OUP (Osage University Partners)",7,16,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-01-25,,
Moderna Therapeutics,https://www.crunchbase.com/organization/moderna-therapeutics,"Biotechnology, Genetics, Health Care, Medical, Pharmaceutical","Cambridge, Massachusetts, United States",Moderna Therapeutics is a biotechnology company that specializes in drug discovery and drug development based on messenger RNA.,293,"Greater Boston Area, East Coast, New England",,$100M to $500M,Active,2010-01-01,year,2018-12-06,day,,,For Profit,http://www.modernatx.com,,,2,3,1,2,1,1,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",6,"Derrick Rossi, Kenneth Chien, Noubar Afeyan, Robert Langer, Stephane Bancel, Timothy A. Springer",1001-5000,13,IPO,2022-10-12,250000000,USD,250000000,Post-IPO Equity,250000000,USD,250000000,Post-IPO Equity,1974000000,USD,1974000000,2981600000,USD,2981600000,"AstraZeneca, Fidelity Management and Research Company, RA Capital Management, Wellington Management, Alexandria Venture Investments",7,21,1,Made Acquisitions,,,,,,,,,,,,Public,2018-12-06,,,604000000,USD,604000000,7565000000,USD,7565000000,MRNA,https://www.crunchbase.com/ipo/moderna-therapeutics-ipo--550229ba,NASDAQ,2022-04-11,,
Foodpanda,https://www.crunchbase.com/organization/foodpanda,"Delivery, E-Commerce, Food Delivery, Marketplace","Berlin, Berlin, Germany",foodpanda is a online food delivery marketplace that enables users to place orders at local restaurants via its website or mobile app.,295,European Union (EU),,$500M to $1B,Active,2012-04-01,day,2016-12-10,day,,,For Profit,https://www.foodpanda.com,,,1,1,,,1,1,,,,,,,,,,"Administrative Services, Commerce and Shopping, Food and Beverage, Transportation",9,"Benjamin Bauer, Christian Mischler, Felix Plog, Kiren Tanna, Mark Cleaver, Ralf Wenzel, Rico Wyder, Rohit Chadda, Simon Schmincke",5001-10000,7,M&A,2017-05-23,431450000,USD,431450000,Undisclosed,431450000,USD,431450000,Undisclosed,749450000,USD,749450000,749450000,USD,749450000,"Rocket Internet, Kinnevik, Delivery Hero, iMENA Group, Phenomen",5,8,12,"Made Acquisitions, Was Acquired",Foodpanda acquired by Delivery Hero,https://www.crunchbase.com/acquisition/delivery-hero-acquires-foodpanda--ddd24629,Delivery Hero,https://www.crunchbase.com/organization/delivery-hero,2016-12-10,day,500000000,USD,500000000,Acquisition,Cash,Private,,,,,,,,,,,,,,2022-09-02,
Klub,https://www.crunchbase.com/organization/klub,"Finance, Financial Services, FinTech","Singapore, Central Region, Singapore",Klub provides an investment platform that utilizes data to provide insights.,297,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://klubworks.com/,Venture Capital,,7,7,5,,1,1,,,,,,,,,,Financial Services,2,"Anurakt Jain, Ishita Verma",11-50,6,Seed,2021-12-03,,,,Debt Financing,20000000,USD,20000000,Seed,22000000,USD,22000000,34799264,USD,34799264,"Northern Arc, 9Unicorns Accelerator Fund, Surge, Kunal Shah, Ramakant Sharma",4,18,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Endeavor,https://www.crunchbase.com/organization/endeavor,"FinTech, Non Profit, Venture Capital","New York, New York, United States","Endeavor supports high-impact entrepreneurs around the world. Endeavor Catalyst is the rules-based, co-investment fund of Endeavor.",298,"Greater New York Area, East Coast, Northeastern US","Women Founded, Women Led",$10M to $50M,Active,1997-01-01,year,,,,,Non-profit,http://www.endeavor.org,"Entrepreneurship Program, Venture Capital",,26,26,9,1,,,,,,,,,,,,"Financial Services, Lending and Investments, Other",3,"Dan D'Aquisto, Linda Rottenberg, Peter Kellner",251-500,1,,2020-01-01,130000000,USD,130000000,Undisclosed,130000000,USD,130000000,Undisclosed,130000000,USD,130000000,130000000,USD,130000000,Swicorp,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2021-07-15,2020-04-22,11
Octopus Energy,https://www.crunchbase.com/organization/octopus-energy,"Energy, Energy Efficiency, GreenTech, Renewable Energy","London, England, United Kingdom",Octopus Energy builds technology that reduces the cost of energy to improve the customer experience.,299,,,,Active,2015-10-01,day,,,,,For Profit,https://octopus.energy/,,,2,2,2,,,,,,,,,,,,,"Energy, Sustainability",3,"Greg Jackson, James Eddison, Stuart Jackson",1001-5000,6,Private Equity,2022-07-26,550000000,USD,550000000,Private Equity,550000000,USD,550000000,Private Equity,2079000000,USD,2079000000,2079000000,USD,2079000000,"Generation Investment Management, Origin Energy, Canada Pension Plan Investment Board, Tokyo Gas",4,4,9,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
BigCommerce,https://www.crunchbase.com/organization/bigcommerce,"Business Development, E-Commerce, Enterprise Software, SaaS, Software","Austin, Texas, United States",BigCommerce is a SaaS provider for merchants running online businesses.,299,Southern US,,$100M to $500M,Active,2009-01-01,day,2021-01-20,day,,,For Profit,http://www.bigcommerce.com,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Professional Services, Software",2,"Eddie Machaalani, Mitchell Harper",1001-5000,7,IPO,2018-04-25,64000000,USD,64000000,Series F,64000000,USD,64000000,Series F,224000000,USD,224000000,224204369,USD,224204369,"Goldman Sachs, General Catalyst, GGV Capital, Telstra Ventures, Revolution Growth",5,11,4,Made Acquisitions,,,,,,,,,,,,Public,2021-01-20,,,,,,,,,BI1,https://www.crunchbase.com/ipo/bigcommerce-ipo--132ea080,ETR - Deutsche Börse XETRA,,2022-12-15,10
Celo,https://www.crunchbase.com/organization/celo-3846,"Blockchain, Finance, Financial Services, FinTech, Payments","San Francisco, California, United States",Celo is an open platform that makes financial tools accessible to anyone with a mobile phone.,302,"San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2018-01-01,year,,,,,Non-profit,https://celo.org/,,,7,7,1,1,,,,,,,,,,,,"Financial Services, Other, Payments",4,"Charles Nichols, Marek Olszewski, Rene Reinsberg, Sep Kamvar",11-50,7,Seed,2022-11-20,,,,Pre-Seed,,,,Pre-Seed,66500000,USD,66500000,66500000,USD,66500000,"Andreessen Horowitz, Polychain, DWF Labs, General Catalyst, Greenfield",4,32,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1
Tempus,https://www.crunchbase.com/organization/tempus-3,"Artificial Intelligence, Biotechnology, Health Care, Machine Learning, Medical","Chicago, Illinois, United States",Tempus is a technology company advancing precision medicine through the practical application of artificial intelligence in healthcare.,302,"Greater Chicago Area, Great Lakes, Midwestern US",,$100M to $500M,Active,2015-01-01,year,,,,,For Profit,https://www.tempus.com,,,2,3,1,,1,1,,,,,,,,,,"Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1,Eric Lefkofsky,1001-5000,13,,2022-10-20,175000000,USD,175000000,Debt Financing,100000000,USD,100000000,Venture - Series Unknown,920000000,USD,920000000,1345000000,USD,1345000000,"Google, Ares Management, Baillie Gifford, Franklin Templeton Investments, T. Rowe Price",5,11,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3
Berkeley Lights,https://www.crunchbase.com/organization/berkeley-lights,"Biopharma, Biotechnology, Genetics, Health Care, Therapeutics","Emeryville, California, United States",Berkeley Lights is a provider of research and development services using micro-droplet technology that change the biological processes.,303,"San Francisco Bay Area, West Coast, Western US",,$50M to $100M,Active,2011-01-01,year,2020-07-16,day,,,For Profit,https://www.berkeleylights.com/,,,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",3,"Bill Davidow, Igor Khandros, Ming C. Wu",101-250,8,IPO,2018-10-10,95000000,USD,95000000,Series E,95000000,USD,95000000,Series E,247567756,USD,247567756,267567756,USD,267567756,"Sequoia Capital, Cota Capital, Celesta Capital, Black Diamond Ventures, Nikon",4,14,1,Made Acquisitions,,,,,,,,,,,,Public,2020-07-16,,,178200000,USD,178200000,1355200000,USD,1355200000,BLI,https://www.crunchbase.com/ipo/berkeley-lights-ipo--365d26fa,NASDAQ,2022-09-19,2022-08-10,
Uber,https://www.crunchbase.com/organization/uber,"Logistics, Mobile Apps, Public Transportation, Ride Sharing, Transportation","San Francisco, California, United States","Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.",304,"San Francisco Bay Area, West Coast, Western US",,$10B+,Active,2009-03-01,month,2019-05-09,day,,,For Profit,http://www.uber.com,,,15,22,8,4,5,5,,,,,,,,,,"Apps, Mobile, Software, Transportation",2,"Garrett Camp, Travis Kalanick",10001+,32,IPO,2020-09-14,500000000,USD,500000000,Post-IPO Debt,500000000,USD,500000000,Post-IPO Equity,11662450000,USD,11662450000,25212450000,USD,25212450000,"Microsoft, Techstars, Tencent, Citi, Uber",20,116,13,Made Acquisitions,,,,,,,,,,,,Public,2019-05-09,,,8100000000,USD,8100000000,82400000000,USD,82400000000,UBER,https://www.crunchbase.com/ipo/uber-ipo--f2023e6c,NYSE - New York Stock Exchange,2022-01-26,2021-11-18,75
Branch,https://www.crunchbase.com/organization/branch-metrics,"App Marketing, Mobile Advertising, Mobile Apps, Software","Palo Alto, California, United States",Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands.,304,"San Francisco Bay Area, Silicon Valley, West Coast",Women Founded,$10M to $50M,Active,2014-04-15,day,,,,,For Profit,https://branch.io,,,,,,,,,,,,,,,,,,"Advertising, Apps, Mobile, Sales and Marketing, Software",4,"Alex Austin, Dmitri Gaskin, Mada Seghete, Mike Molinet",251-500,9,Late Stage Venture,2022-02-10,282000000,USD,282000000,Series F,282000000,USD,282000000,Series F,609050000,USD,609050000,609050000,USD,609050000,"Madrona, Bossanova Investimentos, Founders Fund, Cowboy Ventures, Samsung NEXT",5,22,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2020-04-09,137
Birchbox,https://www.crunchbase.com/organization/birchbox,"Beauty, E-Commerce, E-Commerce Platforms, Internet","New York, New York, United States",Birchbox is a New York-based online subscription service that specializes in makeup and other beauty related products.,306,"Greater New York Area, East Coast, Northeastern US","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",$100M to $500M,Active,2010-01-01,year,2021-10-28,day,,,For Profit,http://www.birchbox.com,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Internet Services",2,"Hayley Barna, Katia Beauchamp",101-250,7,M&A,2020-04-20,10270831,USD,10270831,Series D,10270831,USD,10270831,Series D,97170831,USD,97170831,97170831,USD,97170831,"Accel, Harrison Metal, Brand Foundry Ventures, Slow Ventures, Lerer Hippeau",4,23,1,"Made Acquisitions, Was Acquired",Birchbox acquired by FemTec Health,https://www.crunchbase.com/acquisition/femtec-health-acquires-birchbox--9964ffe7,FemTec Health,https://www.crunchbase.com/organization/femtec-health,2021-10-28,day,,,,Acquisition,,Private,,,,,,,,,,,,,,2020-02-07,2
Rapid7,https://www.crunchbase.com/organization/rapid7,"Analytics, Cyber Security, Enterprise Software, Network Security, Risk Management","Boston, Massachusetts, United States",Rapid7 unites cloud risk management and threat detection to deliver results that secure businesses.,308,"Greater Boston Area, East Coast, New England",Black / African American Led,$500M to $1B,Active,2000-01-01,year,2015-07-20,day,,,For Profit,https://www.rapid7.com,,,1,1,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Privacy and Security, Professional Services, Software",3,"Alan Matthews, Chad Loder, Tas Giakouminakis",1001-5000,4,IPO,2014-12-17,30000000,USD,30000000,Series D,30000000,USD,30000000,Series D,89000000,USD,89000000,89000000,USD,89000000,"TCV, Bain Capital Ventures",2,2,11,Made Acquisitions,,,,,,,,,,,,Public,2015-07-20,,,103000000,USD,103000000,600000000,USD,600000000,RPD,https://www.crunchbase.com/ipo/rapid7-ipo--d560d944,NASDAQ,2021-11-30,,57
Nearpod,https://www.crunchbase.com/organization/nearpod,"E-Learning, EdTech, Education, Mobile Apps, Skill Assessment, Software, Virtual Reality","Dania, Florida, United States","Nearpod is a provider of edtech platform for K-12 teachers to create interactive slides filled with videos, quizzes, and other activities.",309,"Greater Miami Area, East Coast, Southern US","Hispanic / Latine Founded, South Asian Led",$10M to $50M,Active,2012-01-01,year,2021-02-19,day,,,For Profit,http://www.nearpod.com,,,,,,,,,,,,,,,,,,"Apps, Education, Hardware, Mobile, Software",4,"Emiliano Abramzon, Felipe Sommer, Guido Kovalskys, Oscar Waldman",251-500,5,M&A,2017-03-01,21000000,USD,21000000,Series B,21000000,USD,21000000,Series B,30700000,USD,30700000,30700000,USD,30700000,"Insight Partners, Reach Capital, StartX (Stanford-StartX Fund), Emerson Collective, Miami Angels",2,22,1,"Made Acquisitions, Was Acquired",Nearpod acquired by Renaissance Learning,https://www.crunchbase.com/acquisition/renaissance-learning-acquires-nearpod--9a50425b,Renaissance Learning,https://www.crunchbase.com/organization/renaissance-learning,2021-02-19,day,650000000,USD,650000000,Acquisition,Cash,Private,,,,,,,,,,,,,,,1
London Stock Exchange Group,https://www.crunchbase.com/organization/london-stock-exchange-group,"Finance, Financial Services, Infrastructure, Stock Exchanges","London, England, United Kingdom","London Stock Exchange Group is a financial markets infrastructure that provides and delivers financial data, analytics, and news.",309,,,$1B to $10B,Active,2007-01-01,year,2001-07-20,day,,,For Profit,http://www.lseg.com,,,8,10,8,,1,1,,,,,,,,,,"Financial Services, Lending and Investments, Other",,,10001+,1,IPO,2022-12-12,2000000000,USD,2000000000,Post-IPO Secondary,,,,,,,,2000000000,USD,2000000000,Microsoft,1,1,11,Made Acquisitions,,,,,,,,,,,,Public,2001-07-20,,,,,,,,,LSEG,https://www.crunchbase.com/ipo/london-stock-exchange-group-ipo--db4a1619,LSE - London Stock Exchange,2020-12-07,,1
